lon,lat,vs30,z1pt0,z2pt5,vs30measured,backarc
118.5,-2.5,600,57.5038289642151,0,0,0
118.5,-2.48,600,57.5038289642151,0,0,0
118.5,-2.46,600,57.5038289642151,0,0,0
118.5,-2.44,600,57.5038289642151,0,0,0
118.5,-2.42,600,57.5038289642151,0,0,0
118.5,-2.4,600,57.5038289642151,0,0,0
118.5,-2.38,600,57.5038289642151,0,0,0
118.5,-2.36,600,57.5038289642151,0,0,0
118.5,-2.34,600,57.5038289642151,0,0,0
118.5,-2.32,600,57.5038289642151,0,0,0
118.5,-2.3,600,57.5038289642151,0,0,0
118.5,-2.28,600,57.5038289642151,0,0,0
118.5,-2.26,600,57.5038289642151,0,0,0
118.5,-2.24,600,57.5038289642151,0,0,0
118.5,-2.22,600,57.5038289642151,0,0,0
118.5,-2.2,600,57.5038289642151,0,0,0
118.5,-2.18,600,57.5038289642151,0,0,0
118.5,-2.16,600,57.5038289642151,0,0,0
118.5,-2.14,600,57.5038289642151,0,0,0
118.5,-2.12,600,57.5038289642151,0,0,0
118.5,-2.1,600,57.5038289642151,0,0,0
118.5,-2.08,600,57.5038289642151,0,0,0
118.5,-2.06,600,57.5038289642151,0,0,0
118.5,-2.04,600,57.5038289642151,0,0,0
118.5,-2.02,600,57.5038289642151,0,0,0
118.5,-2,600,57.5038289642151,0,0,0
118.5,-1.98,600,57.5038289642151,0,0,0
118.5,-1.96,600,57.5038289642151,0,0,0
118.5,-1.94,600,57.5038289642151,0,0,0
118.5,-1.92,600,57.5038289642151,0,0,0
118.5,-1.9,600,57.5038289642151,0,0,0
118.5,-1.88,600,57.5038289642151,0,0,0
118.5,-1.86,600,57.5038289642151,0,0,0
118.5,-1.84,600,57.5038289642151,0,0,0
118.5,-1.82,600,57.5038289642151,0,0,0
118.5,-1.8,600,57.5038289642151,0,0,0
118.5,-1.78,600,57.5038289642151,0,0,0
118.5,-1.76,600,57.5038289642151,0,0,0
118.5,-1.74,600,57.5038289642151,0,0,0
118.5,-1.72,600,57.5038289642151,0,0,0
118.5,-1.7,600,57.5038289642151,0,0,0
118.5,-1.68,600,57.5038289642151,0,0,0
118.5,-1.66,600,57.5038289642151,0,0,0
118.5,-1.64,600,57.5038289642151,0,0,0
118.5,-1.62,600,57.5038289642151,0,0,0
118.5,-1.6,600,57.5038289642151,0,0,0
118.5,-1.58,600,57.5038289642151,0,0,0
118.5,-1.56,600,57.5038289642151,0,0,0
118.5,-1.54,600,57.5038289642151,0,0,0
118.5,-1.52,600,57.5038289642151,0,0,0
118.5,-1.5,600,57.5038289642151,0,0,0
118.5,-1.48,600,57.5038289642151,0,0,0
118.5,-1.46,600,57.5038289642151,0,0,0
118.5,-1.44,600,57.5038289642151,0,0,0
118.5,-1.42,600,57.5038289642151,0,0,0
118.5,-1.4,600,57.5038289642151,0,0,0
118.5,-1.38,600,57.5038289642151,0,0,0
118.5,-1.36,600,57.5038289642151,0,0,0
118.5,-1.34,600,57.5038289642151,0,0,0
118.5,-1.32,600,57.5038289642151,0,0,0
118.5,-1.3,600,57.5038289642151,0,0,0
118.5,-1.28,600,57.5038289642151,0,0,0
118.5,-1.26,600,57.5038289642151,0,0,0
118.5,-1.24,600,57.5038289642151,0,0,0
118.5,-1.22,600,57.5038289642151,0,0,0
118.5,-1.2,600,57.5038289642151,0,0,0
118.5,-1.18,600,57.5038289642151,0,0,0
118.5,-1.16,600,57.5038289642151,0,0,0
118.5,-1.14,600,57.5038289642151,0,0,0
118.5,-1.12,600,57.5038289642151,0,0,0
118.5,-1.1,600,57.5038289642151,0,0,0
118.5,-1.08,600,57.5038289642151,0,0,0
118.5,-1.06,600,57.5038289642151,0,0,0
118.5,-1.04,600,57.5038289642151,0,0,0
118.5,-1.02,600,57.5038289642151,0,0,0
118.5,-1,600,57.5038289642151,0,0,0
118.5,-0.98,600,57.5038289642151,0,0,0
118.5,-0.96,600,57.5038289642151,0,0,0
118.5,-0.94,600,57.5038289642151,0,0,0
118.5,-0.92,600,57.5038289642151,0,0,0
118.5,-0.9,600,57.5038289642151,0,0,0
118.5,-0.88,600,57.5038289642151,0,0,0
118.5,-0.86,600,57.5038289642151,0,0,0
118.5,-0.84,600,57.5038289642151,0,0,0
118.5,-0.82,600,57.5038289642151,0,0,0
118.5,-0.8,600,57.5038289642151,0,0,0
118.5,-0.78,600,57.5038289642151,0,0,0
118.5,-0.76,600,57.5038289642151,0,0,0
118.5,-0.74,600,57.5038289642151,0,0,0
118.5,-0.72,600,57.5038289642151,0,0,0
118.5,-0.7,600,57.5038289642151,0,0,0
118.5,-0.68,600,57.5038289642151,0,0,0
118.5,-0.66,600,57.5038289642151,0,0,0
118.5,-0.64,600,57.5038289642151,0,0,0
118.5,-0.62,600,57.5038289642151,0,0,0
118.5,-0.6,600,57.5038289642151,0,0,0
118.5,-0.58,600,57.5038289642151,0,0,0
118.5,-0.56,600,57.5038289642151,0,0,0
118.5,-0.54,600,57.5038289642151,0,0,0
118.5,-0.52,600,57.5038289642151,0,0,0
118.5,-0.5,600,57.5038289642151,0,0,0
118.5,-0.48,600,57.5038289642151,0,0,0
118.5,-0.46,600,57.5038289642151,0,0,0
118.5,-0.44,600,57.5038289642151,0,0,0
118.5,-0.42,600,57.5038289642151,0,0,0
118.5,-0.4,600,57.5038289642151,0,0,0
118.5,-0.38,600,57.5038289642151,0,0,0
118.5,-0.36,600,57.5038289642151,0,0,0
118.5,-0.34,600,57.5038289642151,0,0,0
118.5,-0.32,600,57.5038289642151,0,0,0
118.5,-0.3,600,57.5038289642151,0,0,0
118.5,-0.28,600,57.5038289642151,0,0,0
118.5,-0.26,600,57.5038289642151,0,0,0
118.5,-0.24,600,57.5038289642151,0,0,0
118.5,-0.22,600,57.5038289642151,0,0,0
118.5,-0.2,600,57.5038289642151,0,0,0
118.5,-0.18,600,57.5038289642151,0,0,0
118.5,-0.16,600,57.5038289642151,0,0,0
118.5,-0.14,600,57.5038289642151,0,0,0
118.5,-0.12,600,57.5038289642151,0,0,0
118.5,-0.1,600,57.5038289642151,0,0,0
118.5,-0.0800000000000001,600,57.5038289642151,0,0,0
118.5,-0.0600000000000001,600,57.5038289642151,0,0,0
118.5,-0.04,600,57.5038289642151,0,0,0
118.5,-0.02,600,57.5038289642151,0,0,0
118.5,0,600,57.5038289642151,0,0,0
118.5,0.02,600,57.5038289642151,0,0,0
118.5,0.04,600,57.5038289642151,0,0,0
118.5,0.0600000000000001,600,57.5038289642151,0,0,0
118.5,0.0800000000000001,600,57.5038289642151,0,0,0
118.5,0.1,600,57.5038289642151,0,0,0
118.5,0.12,600,57.5038289642151,0,0,0
118.5,0.14,600,57.5038289642151,0,0,0
118.5,0.16,600,57.5038289642151,0,0,0
118.5,0.18,600,57.5038289642151,0,0,0
118.5,0.2,600,57.5038289642151,0,0,0
118.5,0.22,600,57.5038289642151,0,0,0
118.5,0.24,600,57.5038289642151,0,0,0
118.5,0.26,600,57.5038289642151,0,0,0
118.5,0.28,600,57.5038289642151,0,0,0
118.5,0.3,600,57.5038289642151,0,0,0
118.5,0.32,600,57.5038289642151,0,0,0
118.5,0.34,600,57.5038289642151,0,0,0
118.5,0.36,600,57.5038289642151,0,0,0
118.5,0.38,600,57.5038289642151,0,0,0
118.5,0.4,600,57.5038289642151,0,0,0
118.5,0.42,600,57.5038289642151,0,0,0
118.5,0.44,600,57.5038289642151,0,0,0
118.5,0.46,600,57.5038289642151,0,0,0
118.5,0.48,600,57.5038289642151,0,0,0
118.5,0.5,600,57.5038289642151,0,0,0
118.5,0.52,600,57.5038289642151,0,0,0
118.5,0.54,600,57.5038289642151,0,0,0
118.5,0.56,600,57.5038289642151,0,0,0
118.5,0.58,600,57.5038289642151,0,0,0
118.5,0.6,600,57.5038289642151,0,0,0
118.5,0.62,600,57.5038289642151,0,0,0
118.5,0.64,600,57.5038289642151,0,0,0
118.5,0.66,600,57.5038289642151,0,0,0
118.5,0.68,600,57.5038289642151,0,0,0
118.5,0.7,600,57.5038289642151,0,0,0
118.5,0.72,600,57.5038289642151,0,0,0
118.5,0.74,600,57.5038289642151,0,0,0
118.5,0.76,600,57.5038289642151,0,0,0
118.5,0.78,600,57.5038289642151,0,0,0
118.5,0.8,600,57.5038289642151,0,0,0
118.5,0.82,249.943054199219,331.871019502796,0,0,0
118.5,0.84,356.03076171875,268.848546418506,0,0,0
118.5,0.86,366.342864990234,257.193982422996,0,0,0
118.5,0.88,374.869354248047,247.072701785438,0,0,0
118.5,0.9,442.643341064453,164.868512997519,0,0,0
118.5,0.92,611.88916015625,53.4424083295501,0,0,0
118.5,0.94,513.889953613281,101.058708259852,0,0,0
118.5,0.96,452.748321533203,153.98403642428,0,0,0
118.5,0.98,269.512268066406,327.407282974824,0,0,0
118.5,1,239.333526611328,333.498019808575,0,0,0
118.5,1.02,372.659912109375,249.730219614106,0,0,0
118.5,1.04,358.376342773438,266.263314205039,0,0,0
118.5,1.06,367.824401855469,255.463013424669,0,0,0
118.5,1.08,273.38427734375,326.246836305054,0,0,0
118.5,1.1,253.366790771484,331.239615236668,0,0,0
118.5,1.12,335.869567871094,289.126559215371,0,0,0
118.5,1.14,328.196502685547,295.809801501524,0,0,0
118.5,1.16,342.825012207031,282.554605999838,0,0,0
118.5,1.18,363.359924316406,260.63895812701,0,0,0
118.5,1.2,467.0869140625,139.570288324493,0,0,0
118.52,-2.5,600,57.5038289642151,0,0,0
118.52,-2.48,600,57.5038289642151,0,0,0
118.52,-2.46,600,57.5038289642151,0,0,0
118.52,-2.44,600,57.5038289642151,0,0,0
118.52,-2.42,600,57.5038289642151,0,0,0
118.52,-2.4,600,57.5038289642151,0,0,0
118.52,-2.38,600,57.5038289642151,0,0,0
118.52,-2.36,600,57.5038289642151,0,0,0
118.52,-2.34,600,57.5038289642151,0,0,0
118.52,-2.32,600,57.5038289642151,0,0,0
118.52,-2.3,600,57.5038289642151,0,0,0
118.52,-2.28,600,57.5038289642151,0,0,0
118.52,-2.26,600,57.5038289642151,0,0,0
118.52,-2.24,600,57.5038289642151,0,0,0
118.52,-2.22,600,57.5038289642151,0,0,0
118.52,-2.2,600,57.5038289642151,0,0,0
118.52,-2.18,600,57.5038289642151,0,0,0
118.52,-2.16,600,57.5038289642151,0,0,0
118.52,-2.14,600,57.5038289642151,0,0,0
118.52,-2.12,600,57.5038289642151,0,0,0
118.52,-2.1,600,57.5038289642151,0,0,0
118.52,-2.08,600,57.5038289642151,0,0,0
118.52,-2.06,600,57.5038289642151,0,0,0
118.52,-2.04,600,57.5038289642151,0,0,0
118.52,-2.02,600,57.5038289642151,0,0,0
118.52,-2,600,57.5038289642151,0,0,0
118.52,-1.98,600,57.5038289642151,0,0,0
118.52,-1.96,600,57.5038289642151,0,0,0
118.52,-1.94,600,57.5038289642151,0,0,0
118.52,-1.92,600,57.5038289642151,0,0,0
118.52,-1.9,600,57.5038289642151,0,0,0
118.52,-1.88,600,57.5038289642151,0,0,0
118.52,-1.86,600,57.5038289642151,0,0,0
118.52,-1.84,600,57.5038289642151,0,0,0
118.52,-1.82,600,57.5038289642151,0,0,0
118.52,-1.8,600,57.5038289642151,0,0,0
118.52,-1.78,600,57.5038289642151,0,0,0
118.52,-1.76,600,57.5038289642151,0,0,0
118.52,-1.74,600,57.5038289642151,0,0,0
118.52,-1.72,600,57.5038289642151,0,0,0
118.52,-1.7,600,57.5038289642151,0,0,0
118.52,-1.68,600,57.5038289642151,0,0,0
118.52,-1.66,600,57.5038289642151,0,0,0
118.52,-1.64,600,57.5038289642151,0,0,0
118.52,-1.62,600,57.5038289642151,0,0,0
118.52,-1.6,600,57.5038289642151,0,0,0
118.52,-1.58,600,57.5038289642151,0,0,0
118.52,-1.56,600,57.5038289642151,0,0,0
118.52,-1.54,600,57.5038289642151,0,0,0
118.52,-1.52,600,57.5038289642151,0,0,0
118.52,-1.5,600,57.5038289642151,0,0,0
